name,abbreviation,count
Supreme Court of the United States,scotus  ,64453
Court of Appeals for the First Circuit,ca1  ,36280
Court of Appeals for the Second Circuit,ca2  ,66264
Court of Appeals for the Third Circuit,ca3  ,75519
Court of Appeals for the Fourth Circuit,ca4  ,138650
Court of Appeals for the Fifth Circuit,ca5  ,165279
Court of Appeals for the Sixth Circuit,ca6  ,78742
Court of Appeals for the Seventh Circuit,ca7  ,67254
Court of Appeals for the Eighth Circuit,ca8  ,78878
Court of Appeals for the Ninth Circuit,ca9  ,135504
Court of Appeals for the Tenth Circuit,ca10  ,56406
Court of Appeals for the Eleventh Circuit,ca11  ,79255
Court of Appeals for the D.C. Circuit,cadc  ,26918
Court of Appeals for the Federal Circuit,cafc  ,35685
United States Attorneys General,ag  ,1369
United States Air Force Court of Criminal Appeals,afcca  ,1363
Armed Services Board of Contract Appeals,asbca  ,2926
Court of Appeals for the Armed Forces,armfor  ,1306
Army Court of Criminal Appeals,acca  ,1783
United States Court of Claims,cc  ,2196
United States Court of Federal Claims,uscfc  ,19334
Commerce Court,com  ,0
Court of Customs and Patent Appeals,ccpa  ,2776
United States Customs Court,cusc  ,161
United States Tax Court,tax  ,60989
United States Board of Tax Appeals,bta  ,24376
Board of Immigration Appeals,bia  ,50
Department of Justice Office of Legal Counsel,olc  ,124
United States Court of Military Commission Review,mc  ,7
Merit Systems Protection Board,mspb  ,2590
Navy-Marine Corps Court of Criminal Appeals,nmcca  ,2043
United States Court of Appeals for Veterans Claims,cavc  ,1076
Board of Veterans' Appeals,bva  ,3998
Emergency Court of Appeals,eca  ,97
Temporary Emergency Court of Appeals,tecoa  ,0
Foreign Intelligence Surveillance Court of Review,fiscr  ,2
Foreign Intelligence Surveillance Court,fisc  ,5
Special Court under the Regional Rail Reorganization Act,reglrailreorgct  ,40
United States Court of International Trade,cit  ,4685
Bankruptcy Appellate Panel of the First Circuit,bap1  ,283
Bankruptcy Appellate Panel of the Second Circuit,bap2  ,27
Bankruptcy Appellate Panel of the Sixth Circuit,bap6  ,254
United States Bankruptcy Appellate Panel for the Eighth Circuit,bap8  ,514
United States Bankruptcy Appellate Panel for the Ninth Circuit,bap9  ,3185
Bankruptcy Appellate Panel of the Tenth Circuit,bap10  ,459
"Bankruptcy Appellate Panel, D. Maine",bapme  ,2
Bankruptcy Appellate Panel of Massachusetts,bapma  ,3
"United States Bankruptcy Court, M.D. Alabama",almb  ,180
"United States Bankruptcy Court, N.D. Alabama",alnb  ,459
"United States Bankruptcy Court, S.D. Alabama",alsb  ,114
"United States Bankruptcy Court, D. Alaska",akb  ,51
"United States Bankruptcy Court, D. Arizona",arb  ,355
"United States Bankruptcy Court, E.D. Arkansas",areb  ,520
"United States Bankruptcy Court, W.D. Arkansas",arwb  ,241
"United States Bankruptcy Court, C.D. California",cacb  ,568
"United States Bankruptcy Court, E.D. California",caeb  ,274
"United States Bankruptcy Court, N.D. California",canb  ,337
"United States Bankruptcy Court, S.D. California",casb  ,348
"United States Bankruptcy Court, D. Colorado",cob  ,744
"United States Bankruptcy Court, D. Connecticut",ctb  ,822
"United States Bankruptcy Court, D. Delaware",deb  ,873
"United States Bankruptcy Court, District of Columbia",dcb  ,1
"United States Bankruptcy Court, M.D. Florida",flmb  ,2870
"United States Bankruptcy Court, N.D. Florida",flnb  ,266
"United States Bankruptcy Court, S.D. Florida.",flsb  ,1632
"United States Bankruptcy Court, M.D. Georgia",gamb  ,463
"United States Bankruptcy Court, N.D. Georgia",ganb  ,812
"United States Bankruptcy Court, S.D. Georgia",gasb  ,361
"United States Bankruptcy Court, D. Hawaii",hib  ,163
"United States Bankruptcy Court, D. Idaho",idb  ,430
"United States Bankruptcy Court, C.D. Illinois",ilcb  ,428
"United States Bankruptcy Court, N.D. Illinois",ilnb  ,1917
"United States Bankruptcy Court, S.D. Illinois",ilsb  ,220
"United States Bankruptcy Court, N.D. Indiana",innb  ,366
"United States Bankruptcy Court, S.D. Indiana",insb  ,170
"United States Bankruptcy Court, N.D. Iowa",ianb  ,397
"United States Bankruptcy Court, S.D. Iowa",iasb  ,138
"United States Bankruptcy Court, D. Kansas",ksb  ,624
"United States Bankruptcy Court, E.D. Kentucky",kyeb  ,116
"United States Bankruptcy Court, W.D. Kentucky",kywb  ,511
"United States Bankruptcy Court, E.D. Louisiana",laeb  ,102
"United States Bankruptcy Court, M.D. Louisiana",lamb  ,109
"United States Bankruptcy Court, W.D. Louisiana",lawb  ,188
"United States Bankruptcy Court, D. Maine",meb  ,319
"United States Bankruptcy Court, D. Maryland",mdb  ,505
"United States Bankruptcy Court, D. Massachusetts",mab  ,1502
"United States Bankruptcy Court, E.D. Michigan",mieb  ,745
"United States Bankruptcy Court, W.D. Michigan",miwb  ,404
"United States Bankruptcy Court, D. Minnesota",mnb  ,688
"United States Bankruptcy Court, N.D. Mississippi",msnb  ,172
"United States Bankruptcy Court, S.D. Mississippi",mssb  ,98
"United States Bankruptcy Court, E.D. Missouri",moeb  ,545
"United States Bankruptcy Court, W.D. Missouri",mowb  ,1133
"United States Bankruptcy Court, D. Montana",mtb  ,310
"United States Bankruptcy Court, D. Nebraska",nebraskab  ,333
"United States Bankruptcy Court, D. Nevada",nvb  ,198
"United States Bankruptcy Court, D. New Hampshire",nhb  ,408
"United States Bankruptcy Court, D. New Jersey",njb  ,635
"United States Bankruptcy Court, D. New Mexico",nmb  ,312
"United States Bankruptcy Court, E.D. New York",nyeb  ,1063
"United States Bankruptcy Court, N.D. New York",nynb  ,355
"United States Bankruptcy Court, S.D. New York",nysb  ,2457
"United States Bankruptcy Court, W.D. New York",nywb  ,542
"United States Bankruptcy Court, E.D. North Carolina",nceb  ,245
"United States Bankruptcy Court, M.D. North Carolina",ncmb  ,191
"United States Bankruptcy Court, W.D. North Carolina",ncwb  ,84
"United States Bankruptcy Court, D. North Dakota",ndb  ,297
"United States Bankruptcy Court, N.D. Ohio",ohnb  ,1780
"United States Bankruptcy Court, S.D. Ohio",ohsb  ,1631
"United States Bankruptcy Court, E.D. Oklahoma",okeb  ,98
"United States Bankruptcy Court, N.D. Oklahoma",oknb  ,288
"United States Bankruptcy Court, W.D. Oklahoma",okwb  ,268
"United States Bankruptcy Court, D. Oregon",orb  ,384
"United States Bankruptcy Court, E.D. Pennsylvania",paeb  ,2094
"United States Bankruptcy Court, M.D. Pennsylvania",pamb  ,427
"United States Bankruptcy Court, W.D. Pennsylvania",pawb  ,1057
"United States Bankruptcy Court, D. Rhode Island",rib  ,448
"United States Bankruptcy Court, D. South Carolina",scb  ,417
"United States Bankruptcy Court, D. South Dakota",sdb  ,206
"United States Bankruptcy Court, E.D. Tennessee",tneb  ,675
"United States Bankruptcy Court, M.D. Tennessee",tnmb  ,388
"United States Bankruptcy Court, W.D. Tennessee",tnwb  ,264
"United States Bankruptcy Court, D. Tennessee",tennesseeb  ,0
"United States Bankruptcy Court, E.D. Texas",txeb  ,245
"United States Bankruptcy Court, N.D. Texas",txnb  ,848
"United States Bankruptcy Court, S.D. Texas",txsb  ,565
"United States Bankruptcy Court, W.D. Texas",txwb  ,435
"United States Bankruptcy Court, D. Utah",utb  ,221
"United States Bankruptcy Court, D. Vermont",vtb  ,343
"United States Bankruptcy Court, E.D. Virginia",vaeb  ,1113
"United States Bankruptcy Court, W.D. Virginia",vawb  ,416
"United States Bankruptcy Court, E.D. Washington",waeb  ,53
"United States Bankruptcy Court, W.D. Washington",wawb  ,148
"United States Bankruptcy Court, N.D. West Virginia",wvnb  ,82
"United States Bankruptcy Court, S.D. West Virginia",wvsb  ,41
"United States Bankruptcy Court, E.D. Wisconsin",wieb  ,388
"United States Bankruptcy Court, W.D. Wisconsin",wiwb  ,364
"United States Bankruptcy Court, D. Wyoming",wyb  ,39
"United States Bankruptcy Court, D. Guam",gub  ,2
"United States Bankruptcy Court, Northern Mariana Islands",nmib  ,0
"United States Bankruptcy Court, D. Puerto Rico",prb  ,152
"United States Bankruptcy Court, D. Virgin Islands",vib  ,5
United States District Court,usdistct  ,51
"District Court, District of Columbia",dcd  ,34354
"District Court, D. Alabama",ald  ,0
"District Court, M.D. Alabama",almd  ,2266
"District Court, N.D. Alabama",alnd  ,1247
"District Court, S.D. Alabama",alsd  ,724
"District Court, D. Alaska",akd  ,444
"District Court, D. Arizona",azd  ,1286
"District Court, E.D. Arkansas",ared  ,1190
"District Court, W.D. Arkansas",arwd  ,810
"District Court, D. California",californiad  ,8
"District Court, C.D. California",cacd  ,3246
"District Court, E.D. California",caed  ,1258
"District Court, N.D. California",cand  ,4669
"District Court, S.D. California",casd  ,1725
Circuit Court for California,caca  ,0
"District Court, D. Colorado",cod  ,3237
