name,abbreviation,count
Supreme Court of the United States,scotus  ,64243
Court of Appeals for the First Circuit,ca1  ,35845
Court of Appeals for the Second Circuit,ca2  ,64874
Court of Appeals for the Third Circuit,ca3  ,74278
Court of Appeals for the Fourth Circuit,ca4  ,135603
Court of Appeals for the Fifth Circuit,ca5  ,161663
Court of Appeals for the Sixth Circuit,ca6  ,77683
Court of Appeals for the Seventh Circuit,ca7  ,66162
Court of Appeals for the Eighth Circuit,ca8  ,77632
Court of Appeals for the Ninth Circuit,ca9  ,130787
Court of Appeals for the Tenth Circuit,ca10  ,55624
Court of Appeals for the Eleventh Circuit,ca11  ,77155
Court of Appeals for the D.C. Circuit,cadc  ,26480
Court of Appeals for the Federal Circuit,cafc  ,34423
United States Attorneys General,ag  ,1364
United States Air Force Court of Criminal Appeals,afcca  ,1363
Armed Services Board of Contract Appeals,asbca  ,2604
Court of Appeals for the Armed Forces,armfor  ,1258
Army Court of Criminal Appeals,acca  ,1783
United States Court of Claims,cc  ,2196
United States Court of Federal Claims,uscfc  ,15872
Commerce Court,com  ,0
Court of Customs and Patent Appeals,ccpa  ,2776
United States Customs Court,cusc  ,161
United States Tax Court,tax  ,60935
United States Board of Tax Appeals,bta  ,24376
United States Court of Military Commission Review,mc  ,7
Merit Systems Protection Board,mspb  ,2590
Navy-Marine Corps Court of Criminal Appeals,nmcca  ,1921
United States Court of Appeals for Veterans Claims,cavc  ,1031
Board of Veterans' Appeals,bva  ,3547
Emergency Court of Appeals,eca  ,97
Temporary Emergency Court of Appeals,tecoa  ,0
Foreign Intelligence Surveillance Court of Review,fiscr  ,2
Foreign Intelligence Surveillance Court,fisc  ,5
Special Court under the Regional Rail Reorganization Act,reglrailreorgct  ,40
United States Court of International Trade,cit  ,4685
Bankruptcy Appellate Panel of the First Circuit,bap1  ,283
Bankruptcy Appellate Panel of the Second Circuit,bap2  ,27
Bankruptcy Appellate Panel of the Sixth Circuit,bap6  ,254
United States Bankruptcy Appellate Panel for the Eighth Circuit,bap8  ,514
United States Bankruptcy Appellate Panel for the Ninth Circuit,bap9  ,3157
Bankruptcy Appellate Panel of the Tenth Circuit,bap10  ,454
"Bankruptcy Appellate Panel, D. Maine",bapme  ,2
Bankruptcy Appellate Panel of Massachusetts,bapma  ,3
"United States Bankruptcy Court, M.D. Alabama",almb  ,180
"United States Bankruptcy Court, N.D. Alabama",alnb  ,459
"United States Bankruptcy Court, S.D. Alabama",alsb  ,114
"United States Bankruptcy Court, D. Alaska",akb  ,51
"United States Bankruptcy Court, D. Arizona",arb  ,355
"United States Bankruptcy Court, E.D. Arkansas",areb  ,520
"United States Bankruptcy Court, W.D. Arkansas",arwb  ,241
"United States Bankruptcy Court, C.D. California",cacb  ,568
"United States Bankruptcy Court, E.D. California",caeb  ,274
"United States Bankruptcy Court, N.D. California",canb  ,337
"United States Bankruptcy Court, S.D. California",casb  ,348
